train_code,stop_order,station_code,arrival_time,departure_time,arrival_day_offset,departure_day_offset
ES 453,1,ES_BRUXELLES_MIDI,,19:22:00,,0
ES 453,2,ES_ANTWERPEN_CENTRAAL,19:58:00,20:02:00,0,0
ES 453,3,ES_ROOSENDAAL,20:41:00,20:44:00,0,0
ES 453,4,ES_ROTTERDAM_CENTRAAL,21:18:00,21:20:00,0,0
ES 453,5,ES_DEN_HAAG_HS,21:37:00,21:39:00,0,0
ES 453,6,ES_AMSTERDAM_CENTRAAL,22:18:00,22:30:00,0,0
ES 453,7,ES_UTRECHT_CENTRAAL,22:55:00,22:58:00,0,0
ES 453,8,ES_ARNHEM_CENTRAAL,23:34:00,23:43:00,0,0
ES 453,9,ES_BERLIN_GESUNDBRUNNEN,06:00:00,06:00:00,1,1
ES 453,10,ES_DRESDEN_HBF,09:31:00,09:33:00,1,1
ES 453,11,ES_BAD_SCHANDAU,09:57:00,09:59:00,1,1
ES 453,12,ES_DECIN_HLN,10:14:00,10:15:00,1,1
ES 453,13,ES_USTI_NAD_LABEM_HLN,10:45:00,10:45:00,1,1
ES 453,14,ES_PRAGUE_HLN,11:45:00,,1,
ES 452,1,ES_PRAGUE_HLN,,18:04:00,,0
ES 452,2,ES_USTI_NAD_LABEM_HLN,19:04:00,19:05:00,0,0
ES 452,3,ES_DECIN_HLN,19:35:00,19:36:00,0,0
ES 452,4,ES_BAD_SCHANDAU,19:51:00,19:53:00,0,0
ES 452,5,ES_DRESDEN_HBF,20:17:00,20:19:00,0,0
ES 452,6,ES_BERLIN_GESUNDBRUNNEN,23:00:00,23:08:00,0,0
ES 452,7,ES_ARNHEM_CENTRAAL,06:25:00,06:33:00,1,1
ES 452,8,ES_UTRECHT_CENTRAAL,07:17:00,07:20:00,1,1
ES 452,9,ES_AMSTERDAM_CENTRAAL,07:50:00,08:02:00,1,1
ES 452,10,ES_DEN_HAAG_HS,08:38:00,08:40:00,1,1
ES 452,11,ES_ROTTERDAM_CENTRAAL,08:58:00,09:00:00,1,1
ES 452,12,ES_ROOSENDAAL,09:34:00,09:37:00,1,1
ES 452,13,ES_ANTWERPEN_CENTRAAL,10:16:00,10:20:00,1,1
ES 452,14,ES_BRUXELLES_MIDI,11:00:00,,1,
ES 474,1,ES_BERLIN_SPANDAU,,19:48:00,,0
ES 474,2,ES_LIEGE_GUILLEMINS,05:45:00,05:47:00,1,1
ES 474,3,ES_BRUXELLES_MIDI,07:08:00,07:21:00,1,1
ES 474,4,ES_MONS,07:59:00,08:03:00,1,1
ES 474,5,ES_AULNOYE_AYMERIES,08:35:00,08:56:00,1,1
ES 474,6,ES_PARIS_NORD,11:28:00,,1,
ES 475,1,ES_PARIS_NORD,,19:12:00,,0
ES 475,2,ES_AULNOYE_AYMERIES,21:25:00,21:45:00,0,0
ES 475,3,ES_MONS,22:18:00,22:22:00,0,0
ES 475,4,ES_BRUXELLES_MIDI,23:02:00,23:16:00,0,0
ES 475,5,ES_LIEGE_GUILLEMINS,00:41:00,00:43:00,1,1
ES 475,6,ES_BERLIN_SPANDAU,10:14:00,,1,
